Year,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Biomass Generation - TWh
2050,3.246521295644287,6.687967529669248,28.353576277227226,2.0195126658787035
2051,-0.30042183655131116,-7.6709439420778445,33.68882887489342,3.5800784514793804
2052,6.0072936648899615,4.205663675964074,33.376431155471536,2.155500246493292
2053,1.7264118363043446,-0.2613993963571648,29.9153158385746,5.226296857073308
2054,-0.2516406483551741,2.8526207904420495,33.53632391340461,3.667890340403195
2055,6.744198765502154,11.26976172108986,33.621846395341144,5.286053262052807
2056,10.178820764424591,5.367808945560617,40.93151629094796,4.004666050432105
2057,10.740325897521105,16.847497110629213,36.33292575184119,3.3786240929902336
2058,11.139264380416165,16.73104956649466,46.47331305051878,7.788707309889806
2059,11.66001097812639,4.661720426730763,36.61885659570001,3.313068599223441
2060,9.927829629467883,10.530696955840694,33.78413901493213,11.550040169185035
2061,10.04569839487789,14.765203161130694,29.963917743389523,8.22484861386321
2062,10.102234090569487,22.347993969971235,37.88319922006044,8.997451810062412
2063,17.174402407834595,13.848220823855035,48.257365691192376,7.919418465583403
2064,10.656334620879626,18.384777622306114,53.71018009238612,4.801405949476823
2065,15.279870986964003,12.251901642677728,50.02408158850079,7.802406310679508
2066,15.170821117850302,11.84228778746217,43.610632607614946,7.163119815924006
2067,11.832099342149993,24.40987546883062,48.540123021235345,7.323361046590061
2068,13.137708539182412,19.991077585118603,36.66869931584942,7.573207036136473
2069,20.487858491955436,23.27368713463429,49.961953688427364,11.185117105020913
2070,23.50779704444305,24.28210733493874,40.541203550295975,6.249283711863106
2071,18.204392743209443,25.654208103579116,45.13069176371553,9.228985889734481
2072,24.943305959872962,33.53096636182013,54.17405180357819,12.315354413436207
2073,20.3982299704057,27.005434489278592,51.98907871877908,11.315175702722437
2074,18.799117077822764,33.06585907007296,61.33293977890946,9.184697336981323
2075,22.173486822192583,36.99475905871226,54.463947476962545,12.830623396914152
2076,27.271185454361913,35.80579486205455,47.93752546826671,10.398976350053157
2077,21.47967142031234,28.81353953578072,63.05699334594158,12.582435795908356
2078,28.84318025783473,37.12866673546739,62.53100699066865,9.83772463998828
2079,30.70247550621236,32.57273311379933,61.905547396236905,14.075085887163707
2080,27.924975187718086,42.866367627741425,62.25046904844703,8.82913169703098
2081,36.59161581154323,44.70602814500208,59.27772322541795,14.148079389682934
2082,33.883530056209146,41.13599998101201,73.82317574910915,12.700438153511126
2083,31.880896993125024,48.32809490553671,72.84358271302897,15.263605284989406
2084,31.36093385659765,49.07418400512284,64.15682296493677,9.484875622529788
2085,29.00803013676569,48.91816863118228,70.90502652668032,13.445212936561004
2086,34.87914127324324,47.522158811754366,66.47767233488725,15.520974694182677
2087,37.055189573416754,43.84479345586723,61.523989200989256,12.846950016138313
2088,43.015053810350665,40.82778860925994,68.5588764913239,19.274126324620262
2089,39.32725979590282,49.39383325284231,65.27874676093839,12.075797923121662
2090,40.43545676367964,49.91554436626756,74.1110141810911,15.979187295191497
2091,37.775560984521825,54.106390052908445,73.36331108505976,13.631521946566298
2092,42.3745526596203,50.84777532333187,66.88533382613646,16.238811711154824
2093,43.626264170069064,56.375023235983136,69.32163501615905,18.68229901325564
2094,45.202337592766995,62.46168732430388,79.8981674998746,18.263946065865678
2095,48.280464681210844,58.82378818971919,79.69778756108535,19.14644422048189
2096,42.244672893225896,56.60141423776968,71.48651988359596,18.859694080563653
2097,43.733485176416245,58.19615278692054,74.81649468932999,19.161514703663464
2098,51.781733430171414,52.82591948699217,80.23615714498516,20.418719207030463
2099,51.18779666913019,58.84881160799277,74.98935787886408,24.23744227587783
