Pais,Promedio Renovables
Norway,68.01918892982457
Iceland,62.063699684210526
New Zealand,39.511652228070176
Brazil,39.21281263157895
Sweden,33.97086068421052
Switzerland,31.674854684210526
Austria,29.46237359649123
Canada,28.410116947368422
Colombia,26.111194368421053
Peru,25.076756649122807
Chile,21.689584245614036
Portugal,20.021958507017544
Croatia,20.009952859374998
Sri Lanka,19.212303035087718
Latvia,18.858126891891892
Finland,18.825984771929825
Venezuela,16.698627622807017
Ecuador,16.07369299473684
Slovenia,14.640907921875
Vietnam,13.532111410526317
