Entity,Promedio Renewables
Middle Africa (BP),30.228478385964912
Eastern Africa (BP),28.633422157894735
South and Central America (BP),25.149845000000003
Central America (BP),22.584904824561402
Western Africa (BP),11.78266775614035
Europe (BP),9.056907592982455
OECD (BP),8.236837035087719
European Union (27),8.000053598245614
North America (BP),7.9562500210526315
Non-OECD (BP),7.576261119298246
Africa (BP),7.440714421052632
Asia Pacific (BP),6.759766371929825
CIS (BP),5.256814391228071
Middle East (BP),1.22883773
